question,ground_truth,generated_answer,score,response_time,sources
What is cybersecurity?,Cybersecurity is the protection of systems and data from attacks.," Cybersecurity is the protection of computers, networks, and data from cyberattacks and unauthorized access. It helps to keep information safe from threats such as viruses, malware, ransomware, and hacking.",10.0,10.34,"['NS Case Study AK', 'NS Case Study AK']"
What is ransomware?,Ransomware encrypts files and demands payment.," Ransomware is a malicious software designed to block access to computer systems or encrypt important files, then demand a ransom payment for their recovery. Attackers usually request payment in cryptocurrencies such as Bitcoin to remain anonymous. Ransomware attacks commonly spread through phishing emails, malicious downloads, and network vulnerabilities.",10.0,5.21,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
When did AIIMS attack occur?,"November 23, 2022", The AIIMS attack occurred in November 2022.,10.0,4.36,"['Abdul Kareem K Cyber Security Case Study', 'NS Case Study AK', 'Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study']"
What exploit did WannaCry use?,EternalBlue, The WannaCry ransomware used the EternalBlue exploit to infect systems. This exploit was originally developed by the U.S. National Security Agency (NSA) for intelligence purposes.,10.0,5.8,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
What protocol did WannaCry exploit?,SMB (Server Message Block) protocol, The WannaCry ransomware exploited the Windows Server Message Block (SMB) protocol.,10.0,5.03,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
Who leaked EternalBlue?,The Shadow Brokers hacker group, The EternalBlue exploit was leaked by a hacker group known as the Shadow Brokers in 2017.,10.0,5.31,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
Who discovered the WannaCry kill switch?,Marcus Hutchins, Marcus Hutchins,10.0,3.72,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
How many countries were affected by WannaCry?,More than 150 countries, More than 150 countries,10.0,3.97,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
How many systems did WannaCry infect?,"Over 200,000 computer systems"," The text states that over 200,000 computer systems were affected by WannaCry.",10.0,4.35,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
What ransom did AIIMS attackers demand?,Alleged Rs. 200 crore in cryptocurrency, Alleged ₹200 crore in cryptocurrency (not officially confirmed by authorities),8.0,4.11,"['Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study']"
How much data was stolen in the AIIMS attack?,Over 1.3 terabytes of patient data, 1.3 TB of sensitive patient records,10.0,4.88,"['Abdul Kareem K Cyber Security Case Study', 'NS Case Study AK', 'Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study']"
Which agency provided servers after AIIMS attack?,DRDO, DRDO (Defence Research and Development Organisation) provided servers after the AIIMS attack.,10.0,4.5,"['Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study', 'Abdul Kareem K Cyber Security Case Study']"
What does CERT-In stand for?,Computer Emergency Response Team India, CERT-In stands for Computer Emergency Response Team - India.,10.0,3.86,['Abdul Kareem K Cyber Security Case Study']
What is a kill switch in malware?,A hidden mechanism that stops malware from spreading when triggered," A kill switch in malware is a mechanism embedded within the malicious code that can halt or slow down its propagation. In the case of WannaCry, the kill switch was a specific, unregistered domain that, when registered by security researcher Marcus Hutchins, effectively stopped the spread of the ransomware on connected systems.",8.0,6.15,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
What vitamin prevents rickets?,Vitamin D, Vitamin D prevents rickets.,10.0,5.36,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What deficiency causes scurvy?,Vitamin C deficiency, Vitamin C deficiency causes scurvy.,10.0,3.91,"['FNH unit 1,2,3', 'FNH unit 1,2,3']"
What deficiency causes pellagra?,Niacin (Vitamin B3) deficiency, Niacin (B3) deficiency causes pellagra.,10.0,4.21,"['FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is heme iron?,"Iron from animal sources, absorbed 2-3x better than plant-based iron"," Heme iron is a form of iron that is bound to hemoglobin or myoglobin in animal products. It is absorbed 2 to 3 times more effectively than non-heme iron found in plants, making it crucial for preventing Iron Deficiency Anemia.",10.0,5.64,"['FNH unit 1,2,3', 'FNH unit 1,2,3']"
What are probiotics?,Live beneficial microorganisms found in yogurt and fermented foods that improve gut health," Probiotics are live microorganisms (mainly Lactobacillus and Bifidobacterium) found in yogurt, kefir, and sauerkraut that maintain the ""Gut-Brain Axis,"" a communication network between the digestive tract and the brain. They help balance gut microbiota and have therapeutic significance for gastrointestinal health by preventing Irritable Bowel Syndrome (IBS), improving digestion, and boosting immunity.",9.0,8.43,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
